契約月份,最後結算日,臺指選擇權(TXO)
202305W2,2023/05/10,15611
202305W1,2023/05/03,15567
202304W4,2023/04/26,15379
202304,2023/04/19,15775
202304W2,2023/04/12,15932
202304W1,2023/04/06,15795
202303W5,2023/03/29,15749
202303W4,2023/03/22,15744
202303,2023/03/15,15405
202303W2,2023/03/08,15811
202303W1,2023/03/01,15593
202302W4,2023/02/22,15433
202302,2023/02/15,15398
202302W2,2023/02/08,15615
202302W1,2023/02/01,15359
202301,2023/01/30,15450
202301W2,2023/01/11,14753
202301W1,2023/01/04,14223
202212W4,2022/12/28,14130
202212,2022/12/21,14219
202212W2,2022/12/14,14725
202212W1,2022/12/07,14669
202211W5,2022/11/30,14831
202211W4,2022/11/23,14621
202211,2022/11/16,14499
202211W2,2022/11/09,13615
202211W1,2022/11/02,13087
202210W4,2022/10/26,12741
202210,2022/10/19,12999
202210W2,2022/10/12,13090
202210W1,2022/10/05,13823
202209W4,2022/09/28,13502
202209,2022/09/21,14402
202209W2,2022/09/14,14667
202209W1,2022/09/07,14416
202208W5,2022/08/31,15078
202208W4,2022/08/24,15097
202208,2022/08/17,15452
202208W2,2022/08/10,14945
202208W1,2022/08/03,14707
202207W4,2022/07/27,14887
202207,2022/07/20,14713
202207W2,2022/07/13,14384
202207W1,2022/07/06,14015
202206W5,2022/06/29,15261
202206W4,2022/06/22,15388
202206,2022/06/15,16061
202206W2,2022/06/08,16659
202206W1,2022/06/01,16717
202205W4,2022/05/25,16155
202205,2022/05/18,16302
202205W2,2022/05/11,16028
202205W1,2022/05/04,16541
202204W4,2022/04/27,16304
202204,2022/04/20,17125
202204W2,2022/04/13,17311
202204W1,2022/04/06,17513
202203W5,2022/03/30,17759
202203W4,2022/03/23,17706
202203,2022/03/16,16937
202203W2,2022/03/09,17026
202203W1,2022/03/02,17897
202202W4,2022/02/23,18077
202202,2022/02/16,18206
202202W2,2022/02/09,18146
202202W1,2022/02/07,17882
202201W4,2022/01/26,17712
202201,2022/01/19,18217
202201W2,2022/01/12,18317
202201W1,2022/01/05,18466
202112W5,2021/12/29,18271
202112W4,2021/12/22,17816
202112,2021/12/15,17629
202112W2,2021/12/08,17881
202112W1,2021/12/01,17615
202111W4,2021/11/24,17650
202111,2021/11/17,17723
202111W2,2021/11/10,17554
202111W1,2021/11/03,17113
202110W4,2021/10/27,17059
202110,2021/10/20,16882
202110W2,2021/10/13,16370
202110W1,2021/10/06,16364
202109W5,2021/09/29,16823
202109W4,2021/09/22,16916
202109,2021/09/15,17382
202109W2,2021/09/08,17192
202109W1,2021/09/01,17484
202108W4,2021/08/25,17010
202108,2021/08/18,16785
202108W2,2021/08/11,17170
202108W1,2021/08/04,17601
202107W4,2021/07/28,17074
202107,2021/07/21,17431
202107W2,2021/07/14,17796
202107W1,2021/07/07,17799
202106W5,2021/06/30,17776
202106W4,2021/06/23,17347
